feature,global_mean,global_std,local_std,stability_ratio,stability_gain
feature_abessive_philistine_camisado,1483.2003484320558,556.3601009100987,438.4321637950233,0.788036674588692,117.9279371150754
feature_able_deprived_nona,1092.6567944250871,581.4202917441352,465.26626392467176,0.8002236429158218,116.15402781946341
feature_ablest_inflexional_egeria,1188.158536585366,550.298777443486,454.9748194793387,0.8267778125784828,95.32395796414727
feature_abrasive_forcipate_crewel,1465.5557491289198,1017.58671302602,312.0288017647616,0.3066360810047084,705.5579112612584
feature_absonant_wintry_hiring,1458.301393728223,580.6681757206418,465.1585796245353,0.801074691319612,115.50959609610646
feature_absorbable_hyperalgesic_mode,1221.6184668989547,566.3451414768508,469.3145257812862,0.8286722908180352,97.03061569556462
feature_absorbing_pluviometrical_technocrat,1037.911149825784,840.8235122951448,419.1957938058039,0.4985538435545773,421.62771848934096
feature_acadian_lamelliform_forefoot,2056.1550522648085,565.9272167516721,226.55500186349144,0.4003253336425122,339.3722148881806
feature_acarine_personate_survivor,2204.6672473867598,366.07702258494896,157.83615294675826,0.4311555853253042,208.2408696381907
feature_accadian_pledged_bore,1627.6324041811847,752.0725261121955,382.4280463636855,0.5084988921755057,369.64447974851004
feature_accepted_unviable_fruitage,1389.2979094076654,597.5578251316566,449.82565900903086,0.7527734389720748,147.73216612262576
feature_acclamatory_draconian_view,1265.6132404181185,570.1473312231018,474.78203205643007,0.8327356913833299,95.36529916667172
feature_according_tied_bedlam,1008.5540069686411,826.1759505496625,376.610524693452,0.4558478426331456,449.5654258562105
feature_accostable_ambulatory_overcompensation,1182.3606271777003,570.577066742784,482.69237651850915,0.8459722702737135,87.88469022427489
feature_accosted_strengthened_displeasure,1444.3327526132405,573.8368635561898,461.15596484668407,0.8036360055169721,112.6808987095057
feature_accountable_uninhabitable_reunion,1323.9059233449477,548.4177254660369,458.0264688850282,0.8351780907442485,90.39125658100875
feature_accoutered_revolute_vexillology,1230.4442508710802,551.97435525456,468.81219797610396,0.8493369184876293,83.16215727845605
feature_accredited_consummate_currie,2315.6393728222997,339.3551742547884,133.28395612543633,0.3927565165850883,206.07121812935205
feature_accrued_groutier_lodestar,1684.0731707317073,513.5061237602898,392.38516508716896,0.7641294756405642,121.12095867312087
feature_acetabular_citatory_bumper,1785.5418118466898,502.7232063053864,358.66499584982336,0.7134442797771846,144.05821045556303
feature_acetose_crackerjack_needlecraft,2160.891986062718,417.46204706351057,168.96593124851495,0.4047456108574328,248.49611581499562
feature_acetose_permeated_irregular,1152.5853658536585,601.7395772906779,509.9204626407592,0.847410544170399,91.81911464991867
feature_acheulian_conserving_output,2415.2979094076654,223.98271116234804,145.78704169508214,0.6508852443946541,78.1956694672659
feature_acheulian_constrainable_ahriman,710.2282229965157,683.758148845824,372.21908839077497,0.5443724349305036,311.5390604550491
feature_acknowledged_anteorbital_bilker,1669.574912891986,730.5540873083781,375.68156926850554,0.5142419648251514,354.8725180398726
feature_acronychal_bilobate_stevenage,1131.8066202090592,545.0816349107754,469.6329393491314,0.8615827598484506,75.448695561644
feature_acrylic_gallic_wine,979.4372822299651,727.7231475500898,406.7981884812581,0.5590013040683961,320.92495906883175
feature_acrylic_pacifying_purification,1862.2700348432056,489.5489628104933,347.0333795944162,0.7088839032608766,142.51558321607712
feature_active_yclept_hydrometallurgy,1411.1811846689895,611.3983131370228,444.78252556334246,0.7274840574570911,166.61578757368034
feature_adamantine_cosmogonical_stringing,1070.3170731707316,573.0647412975864,504.1296131328896,0.8797079575885135,68.93512816469678
feature_adaptative_nasal_monastery,412.45993031358887,454.9242013046026,303.202124203448,0.6664893257688739,151.72207710115458
feature_adipose_bighearted_diabolo,610.7038327526133,488.45100045518217,372.5296505590473,0.7626755809935715,115.92134989613487
feature_adjudicative_unkissed_exotic,2066.0087108013936,487.31103368793833,263.6693033690661,0.5410698407003713,223.64173031887225
feature_adminicular_shod_levant,1304.1881533101046,554.0544351118308,450.12229064739677,0.812415282907254,103.93214446443403
feature_admonished_municipal_bletting,549.6550522648083,574.0446919688148,355.4498759920361,0.6192024435814242,218.59481597677876
feature_adorable_infernal_cartesianism,496.38850174216026,407.2133203181383,337.56351386143086,0.8289599014042738,69.64980645670744
feature_adorable_unsuitable_cholecystectomy,1889.8919860627177,505.54060933257927,313.96534605334347,0.6210487154886415,191.5752632792358
feature_adsorbed_rebuttable_imitator,1435.8240418118467,609.2598365158452,459.8997515424805,0.7548499408273727,149.36008497336474
feature_adsorbent_rebel_atony,2346.1114982578397,274.2089968142492,184.3902913792675,0.6724443527437379,89.8187054349817
feature_adunc_cosmogonical_radiobiology,1298.9024390243903,598.7830744275567,482.22647184149207,0.8053441929742352,116.55660258606463
feature_advertent_deferent_kaif,1187.8310104529617,533.9064382742918,442.9012848213514,0.8295484996452002,91.00515345294036
feature_advised_subdural_toadflax,1829.7526132404182,522.4624887310378,350.7008789507516,0.6712460444816574,171.76160978028616
feature_advocatory_unfathered_utricle,1276.7857142857142,707.9287940091051,461.36190790785514,0.6517066572403344,246.56688610124996
feature_aeneolithic_nineteenth_whipper,1344.2073170731708,585.5339090862482,469.82690258007176,0.802390596495526,115.70700650617641
feature_aerobic_contrapuntal_memento,809.6428571428571,885.5282149775442,328.981113178378,0.3715083354929809,556.5471017991662
feature_aerobiological_occultist_flophouse,1076.4006968641115,985.8667732808517,333.4668875633463,0.33824741496622984,652.3998857175054
feature_aerodynamical_exhibitive_keyword,721.2508710801394,520.5706156941598,452.05583793634923,0.8683852378673951,68.51477775781052
feature_aerological_untested_granulator,1610.4843205574914,479.26531427177474,417.48754276163305,0.8710990141149466,61.77777151014169
feature_aeronautical_fourteenth_neurectomy,2474.0400696864112,334.5124192029978,48.0465096387673,0.14363146741529623,286.4659095642305
feature_aery_restrainable_thai,1865.932055749129,483.5886471669036,325.07341927862785,0.672210609539875,158.51522788827577
feature_afferent_splenic_rosaniline,1730.142857142857,515.2853261444725,386.0117357616281,0.7491223137477827,129.27359038284442
